Data;Taxa de juros prefixada - estrutura a termo - LTN - 12 meses - (% a.a.) - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais (Anbima) - ANBIMA366_TJTLN12366
21/09/2017;7,193
22/09/2017;7,1831
23/09/2017;7,1244
24/09/2017;7,1027
25/09/2017;7,1267
26/09/2017;7,0949
27/09/2017;7,1267
28/09/2017;7,0949
29/09/2017;7,1392
30/09/2017;7,1234
01/10/2017;7,0926
02/10/2017;7,0817
03/10/2017;7,1138
04/10/2017;7,0817
05/10/2017;7,1138
06/10/2017;7,1227
07/10/2017;7,1538
08/10/2017;7,1506
09/10/2017;7,1472
10/10/2017;7,1223
11/10/2017;7,1472
12/10/2017;7,1223
13/10/2017;7,1059
14/10/2017;
15/10/2017;7,0845
16/10/2017;7,0986
17/10/2017;7,0844
18/10/2017;7,0986
19/10/2017;7,0844
20/10/2017;7,0912
21/10/2017;7,0736
22/10/2017;7,0846
23/10/2017;7,1
24/10/2017;7,1156
25/10/2017;7,1
26/10/2017;7,1156
27/10/2017;7,0908
28/10/2017;7,1979
29/10/2017;7,1481
30/10/2017;7,169
31/10/2017;7,1194
01/11/2017;7,169
02/11/2017;7,1194
03/11/2017;7,1206
04/11/2017;
05/11/2017;7,1447
06/11/2017;7,1427
07/11/2017;7,1522
08/11/2017;7,1427
09/11/2017;7,1522
10/11/2017;7,1262
11/11/2017;7,1608
12/11/2017;7,1753
13/11/2017;7,1583
14/11/2017;7,1647
15/11/2017;7,1583
16/11/2017;7,1647
17/11/2017;7,1082
18/11/2017;7,1547
19/11/2017;7,1082
20/11/2017;7,1131
21/11/2017;7,0949
22/11/2017;7,1131
23/11/2017;7,0949
24/11/2017;7,0919
25/11/2017;7,0301
26/11/2017;7,0298
27/11/2017;7,0039
28/11/2017;6,9936
29/11/2017;7,0039
30/11/2017;6,9936
01/12/2017;7,0308
02/12/2017;7,0219
03/12/2017;7,0115
04/12/2017;6,9713
05/12/2017;6,9546
06/12/2017;6,9713
07/12/2017;6,9546
08/12/2017;6,9607
09/12/2017;6,9825
10/12/2017;6,9455
11/12/2017;6,9272
12/12/2017;6,9283
13/12/2017;6,9272
14/12/2017;6,9283
15/12/2017;6,9039
16/12/2017;6,9112
17/12/2017;6,9019
18/12/2017;6,8853
19/12/2017;6,8901
20/12/2017;6,8853
21/12/2017;6,8901
22/12/2017;6,8595
23/12/2017;6,8969
24/12/2017;6,8872
25/12/2017;
26/12/2017;6,8568
27/12/2017;6,8724
28/12/2017;6,8568
29/12/2017;6,8724
30/12/2017;6,8616
31/12/2017;6,8646
01/01/2018;
02/01/2018;6,7838
03/01/2018;6,7505
04/01/2018;6,7838
05/01/2018;6,7505
06/01/2018;6,7477
07/01/2018;6,7913
08/01/2018;6,8104
09/01/2018;6,8152
10/01/2018;6,8104
11/01/2018;6,8152
12/01/2018;6,8805
13/01/2018;6,9004
14/01/2018;6,9357
15/01/2018;6,8974
16/01/2018;6,903
17/01/2018;6,8974
18/01/2018;6,903
19/01/2018;6,909
